Company Name,Category,Phone Number,Email ID,Address,Website,Search Query
Power Factor Shop,Electrical supply store,097170 05541,"info@petzcreation.com, support@powerfactorshop.com","
A-8, Industrial Area Phase I, Block A, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi 110028",https://www.powerfactorshop.com/,electrical earthing shops Delhi
S.K. Refrigeration,Appliance store,098118 83216,,"
Metro Pillar No.533, 1/1, Double Storey, Main Najafgarh Road, Chatrapati, Shivaji Marg, Janakpuri, New Delhi, Delhi 110058",,electrical earthing shops Delhi
Earth Electricals,Electrical supply store,098114 47799,,"
A-1, Ali Extension, Sarita Vihar, New Delhi, Delhi 110076",,electrical earthing shops Delhi
Anugrah Electronics & Appliances,Electronics store,011 2704 4500,,"
E-1 Pocket, Harlal Market, Shop No. 21-23, Maharaja Agrasen Marg, Sector 7, Rohini, Delhi, 110085",,electrical earthing shops Delhi
Superb Electronics,Electronic parts supplier,098109 59698,,"
RZ-9, Manas Kunj, New Uttam Nagar, Uttam Nagar, New Delhi, Delhi, 110059",http://www.superbonline.in/,electrical earthing shops Delhi
Havells Authorised Partner - Shakti Electricals,Electrical supply store,080 4698 4945,,"
Shop No 230, nearby Vishal Mega Mart, Block B, Pocket 00, Sector 1, Rohini, New Delhi, Delhi, 110085",https://partners.havells.com/havells/new-delhi/Rohini/havells-authorised-partner-shakti-electricals-in-Rohini-new-delhi--54fcrp/home,electrical earthing shops Delhi
Gleam Light India Pvt. Ltd.,Telecommunications equipment supplier,088003 86366,info@gleamlightindia.com,"
12B Block -A, Rohtak Rd, behind Kanishka Garden, Amar Colony, Nangloi, New Delhi, Delhi 110041",https://www.gleamlightindia.com/,electrical earthing shops Delhi
Bharat Electrical Industries,Electrical products wholesaler,080 4860 2935,,"
41, Phase 2, Pocket A, Industrial Area, Mangolpuri, Delhi, 110083",https://www.hosperelectric.com/,electrical earthing shops Delhi
Ess Ess International,Electrical supply store,011 2362 8092,,"
13 India, Jhandewalan Extension, New Seelampur Phase II, Jhandewalan, New Delhi, Delhi 110055",,electrical earthing shops Delhi
Kamal Heavy Electric Works & Maintenance-free chemical Earthing,Electric motor repair shop,098110 79633,,"
S-14, A-112 J.J.R. Camp, Okhla Industrial Area Phase-2, New Delhi, Delhi 110020",,electrical earthing shops Delhi
Saroop Industries,Auto parts store,098111 95059,saroopindustries@gmail.com,"
B-15, Mangolpuri Industrial Area Phase II, Phase 2, Pocket B, Industrial Area, Mangolpuri, New Delhi, Delhi, 110083",https://www.saroopindustries.com/,electrical earthing shops Delhi
Prakash Refrigeration & Electrical,Air conditioning repair service,098188 30314,,"
14, 16, Block 48, Ashok Nagar, Delhi, 110018",,electrical earthing shops Delhi
SHAKTI WINDING WIRES,Copper Supplier,098115 35859,shaktiwires@gmail.com,"
56A, 9, Rama Rd, Kirti Nagar Industrial Area, Kirti Nagar, New Delhi, Delhi, 110015",http://www.shaktiwires.com/,copper earthing electrode resellers Delhi
S K Super Enamelled Copper Wire,Electrical supply store,011 5621 0250,,"
Shop: Wz 166, Block WZ, Basai Dara pur, Bali Nagar, Delhi, 110015",,copper earthing electrode resellers Delhi
Capstan Super Enamelled Copper and Aluminium winding wire,Copper Supplier,098116 43058,,"
Tyagi Market, WZ-480E/1A, West, Block WZ, Basai Dara pur, Bali Nagar, New Delhi, Delhi, 110015",,copper earthing electrode resellers Delhi
SINGH EARTHING SYSTEM,Electrical equipment supplier,097189 43900,,"
C-160/30, Block C Sector-45, Noida, Uttar Pradesh 201303, Noida, Uttar Pradesh 201301",https://singhearthingsystems.com/,GI earthing electrode dealers Noida
GS ELECTROCONTROLS PVT LTD,Electrician,099998 86013,"%20info@gseindia.in, info@gseindia.in, sales.gseindia@gmail.com","
2nd floor, D-301, Sector 63 Rd, F Block, Sector 63, Noida, Chotpur, Uttar Pradesh 201301",http://www.gseindia.in/,GI earthing electrode dealers Noida
Ennob Infraa Solution,Electrical equipment supplier,088822 22777,"enquiry@ennob.in, abhisek@ennob.in","
Plot No. 24, Surajpur - Kasna Rd, Udyog Vihar Extension, Ecotech-II, Udyog Vihar, Greater Noida, Uttar Pradesh 201306",https://www.ennob.in/,GI earthing electrode dealers Noida
Earthing Material Supplier HR ENGINEERING SOLUTION,Electrical equipment supplier,084485 61247,,"
Shop No. 12, near TULIP LEMON, society, Sector 69, Gurugram, Haryana 122101",,earthing material dealers Gurugram
Shallamar Electric Company l Earthing material l Electrical material supplier in gurgaon,Electrician,099104 79797,,"
Basai Rd, Bada Bazar, New Basti, Sector 8, Gurugram, Haryana 122001",https://shallamarelectric.mapgurugram.com/,earthing material dealers Gurugram
"Ozone India | Laxmi Hardware And Welding Material | Gurugram, Haryana",Hardware store,098104 98405,customercare@ozone.in,"
1032, 1, Old Railway Rd, near Chintapurni Mandir, Sector 7, Gurugram, Haryana 122001",https://stores.ozone.in/ozone-india-laxmi-hardware-and-welding-material-gurugram-haryana-osdlr7350,earthing material dealers Gurugram
𝐕𝐨𝐥𝐭𝐦𝐞𝐧 𝐄𝐧𝐞𝐫𝐠𝐲 𝐒𝐨𝐥𝐮𝐭𝐢𝐨𝐧𝐬 𝐏𝐫𝐢𝐯𝐚𝐭𝐞 𝐋𝐢𝐦𝐢𝐭𝐞𝐝,Solar Energy Company,095400 03075,,"
Plot No. 324, near Sector 14, Sukhrali, Sector 17, Gurugram, Haryana 122001",http://www.voltmenenergy.com/,earthing material dealers Gurugram
Ra-Vi Electricals,Electrical supply store,098102 46443,,"
Metro Pillar No-58, Deep Shikhar Complex, Opp, Mehrauli-Gurgaon Rd, Sikanderpur Market, Sikanderpur, Nathupur, Sector 24, Gurugram, Haryana 122002",,earthing material dealers Gurugram
Maruti Electrode,Electrical equipment supplier,085954 82517,marutielectrode@gmail.com,"
Maruti Electrode, 13/1/5, Industrial Area, Begumpur Khatola, Sector 35, Gurugram, Haryana 122004",http://marutielectrode.co.in/,earthing material dealers Gurugram
Electrotek Static Controls Private Limited,Industrial equipment supplier,080 4873 6718,,"
No.447, ESD Tower, Sector No. 37, Pace City No. 2, Industrial Area, Near Hero Honda Chowk, Gurugram, Haryana 122004",http://www.staticcontrolproductsindia.com/,earthing material dealers Gurugram
SHIV SHAKTI BUILDING MATERIAL SUPPLIER & EARTH MOVERS,Building materials supplier,,,"
Main road, nearby Shri chitragupta sr sec school, Teekli, Tikli, Gurugram, Haryana 122101",,earthing material dealers Gurugram
SBM Electric Techno Pvt. Ltd.,Electrical products wholesaler,099716 16457,,"
SBM EERA COMPLEX, 1/1, Basai Rd, near NK RUBBER FACTORY, Block A, Krishna Nagar, Sector 10, Gurugram, Haryana 122001",https://www.indiamart.com/sbmelectrictechno/,earthing material dealers Gurugram
ROKSNA INDIA Pvt. Ltd.,Electrical equipment supplier,097170 70100,info@lpes.in,"
U-205,Radha Palace, Gurudwara Road Opp: Kamla Nehru Park, Gurugram, Haryana 122001",http://www.lpes.in/,earthing material dealers Gurugram
New Gurgaon Traders,Hardware store,099582 84002,,"
Near Daultabad flyover, Dhanwapur Rd, Surat Nagar, Sector 104, Gurugram, Haryana 122006",,earthing material dealers Gurugram
khushi Electricals,Electrical substation,,,"
Shop No-3 , 1st Floor, Shri Ram Market, near Shiv Mandir Chowk, Rajiv Nagar, Sector 13, Gurugram, Haryana 122001",https://www.indiamart.com/khushielectricals-gurgaon/,earthing material dealers Gurugram
Shiva Sales Corporation Hardware Store,Hardware store,098999 06521,info@anterio.in,"
Bara Bazar, 64/16, Basai Rd, Krishna Palace, Prem Nagar, Sector 11, Gurugram, Haryana 122001",http://www.anterio.in/,earthing material dealers Gurugram
Bhagwati Sales Corporation | electric and petrol concrete Vibrators | concrete Vibrator needles |,Construction equipment supplier,093152 61818,,"
1571, 1, near New Railway Road, Mahavir Pura, Sanjay colony, Sector 6, Gurugram, Haryana 122001",,earthing material dealers Gurugram
VARDAAN TRADERS,Hardware store,,,"
306-307, Vishnu Garden Part-1, Bajghera Rd, Gurugram, Haryana 122006",,earthing material dealers Gurugram
"Dorset, Hettich & Hafele - B S Hardwares",Hardware store,099109 91577,customercare@ozone.in,"
Khasra No, 405, Badshahpur Sohna Rd, opposite JMD GARDEN, Islampur Village, Sector 38, Gurugram, Haryana 122018",https://www.ozone.in/?utm_source=Googlemaps&utm_medium=GMB,earthing material dealers Gurugram
Haryana Iron Store,Building materials store,098684 11322,,"
Shop No. 21, Najafgarh Rd, near Bhada Mandir, Adhyapak Nagar, Naresh Park Extension, Nangloi, Delhi, 110041",,earthing material dealers Gurugram
JAI HIND KISHAN AGRO,Garden machinery supplier,093100 05055,jhkgurgaon@gmail.com,"
Vishnu estate, 2427/3, Old Delhi Rd, opposite Ganpati Lights, Anamika Enclave, Sector 12, Gurugram, Haryana 122001",http://www.kishantools.com/,earthing material dealers Gurugram
BHANU URJA SOLAR GREEN ENERGY- Expert Solar Installation in Gurugram,Solar Energy Company,092116 85257,"info@bhanuurja.com, bhanuurja@gmail.com","
Shop # L-14, Radha Palace, Gurudwara Rd, opposite Kamla Nehru Park, Civil Lines, Gurugram, Haryana 122001",https://bhanuurja.com/,earthing material dealers Gurugram
SHREE GEETANAND ENTERPRISES,Plastic Injection Molding Workshop,098104 77872,,"
Daulatabad, Gurugram, Haryana 122006",http://shreegeetanand.com/,earthing material dealers Gurugram
AAYUSH ENTERPRISES,Electrical supply store,097170 87012,,"
1c-16, Hardware Colony New Industrial Twp Rd, Bata B Colony, New Industrial Twp 1, New Industrial Township, Faridabad, Haryana 121001",,electrical earthing dealers Faridabad
"K S Power Solution, Maintenance free Earthing in Noida,Chemical Earthing in Faridabad",Electrical equipment supplier,082857 17810,,"
METRO GATE NO-1, 14/4, near NH-19, near MEWLA MHARAJPUR, Pocket B, Sector 27, Faridabad, Haryana 121003",https://www.kspowersolution.com/,electrical earthing dealers Faridabad
Grover Electric & Trading Corporation,Electrical supply store,093199 08944,,"
1D/127, Market, near Milap Dawakhana, Block D, New Industrial Twp 1, New Industrial Township, Faridabad, Haryana 121001",https://grover-electric-trading.grexa.site/,electrical earthing dealers Faridabad
Electrical Traders,Electrical supply store,098110 67948,,"
5D/110, opposite DHBVN Office, Block D, New Industrial Twp 5, New Industrial Township, Faridabad, Haryana 121001",,electrical earthing dealers Faridabad
Elvee Electricals,Electrical supply store,098680 78979,,"
Sec-23-24, Main Road, Lakhani, Chowk, Deep Chand Bhatia Marg, Faridabad, Haryana 121005",,electrical earthing dealers Faridabad
Super electrical works,Electrical products wholesaler,070116 84393,,"
Fca-3122, Gali Number 4, Pocket A, Sanjay Gandhi Memorial Nagar, New Industrial Township, Faridabad, Haryana 121001",,electrical earthing dealers Faridabad
Standard Electric Co.,Electrical supply store,0129 400 6818,,"
1H, 16, Aryasamaj Rd, Nehru Ground, New Industrial Twp 1, New Industrial Township, Faridabad, Haryana 121001",http://www.standardelectric.co.in/,electrical earthing dealers Faridabad
NV Electrical – Electrician | AC Repair | Wiring Service in Greenfield Colony Faridabad,Electrician,075033 36203,,"
Dayal Basti, Dayal Basti Village, Sector 42, Faridabad, Haryana 121010",https://nvelectrical.blogspot.com/,electrical earthing dealers Faridabad
SUBTLE CONTROLS I PVT LTD,Electronic parts supplier,0129 402 9540,,"
Plot No 473, Sector 68, IMT, Faridabad, Haryana 121004",http://subtlecontrols.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=16091200121804606114,electrical earthing dealers Faridabad
LEEWO Contracts Pvt. Ltd.,Electrical installation service,0129 417 0003,,"
1D/98 NIT, Faridabad, Haryana 121001",http://www.luxmielectricals.co.in/,electrical earthing dealers Faridabad
SPKN INDIA,Industrial consultant,099995 01843,"spknindia@gmail.com, purchasespknindia@gmail.com, kushagrasharma011@gmail.com","
plot no 7, Gurukul Rd, industrial area, Sector 38, Faridabad, Haryana 121001",https://www.spknindia.com/,electrical earthing dealers Faridabad
NCR Enterprises,Corporate office,080 4606 5554,,"
I-12, District Ct Rd, Pocket I, Sector 10 HBC, Faridabad, Haryana 121006",https://www.ncrenterprises.net/,electrical earthing dealers Faridabad
Electric & Construction Engineers,Electrical equipment supplier,,,"
Plot Number 57, Mujesar, RS Colony, Sector 24, Faridabad, Haryana 121005",,electrical earthing dealers Faridabad
New Samrat Electronics,Electronics store,097101 51313,,"
Abhishek Garden, 56, New Industrial Township, Faridabad, Haryana 121005",,electrical earthing dealers Faridabad
Durga Electricals,Electrical supply store,097115 73959,,"
Shop No. 1d/52, N I T Faridabad, NCR, Region, Haryana 121001",,electrical earthing dealers Faridabad
E Control Devices - Thermal Management Solutions Expert,Supplier,098106 14803,info@econtroldevices.com,"
1, Block B, Plot A2 , BPTP District, near Puri Business Hub, Sector 81, Faridabad, Haryana 121007",https://econtroldevices.com/,electrical earthing dealers Faridabad
Star Electricals,Electrical equipment supplier,098111 29851,,"
1-D, 60, New Industrial Township, Faridabad, Haryana 121001",,electrical earthing dealers Faridabad
Electro Automation Industries,Electronics Company,077018 39766,electroautomationindustries@gmail.com,"
No-3F 49, Metro Rd, Block E, New Industrial Twp 3, New Industrial Township, Faridabad, Haryana 121001",http://www.electroautomationindustries.in/,electrical earthing dealers Faridabad
P.T POWER SOLUTIONS,Electrical equipment supplier,098113 10076,,"
Jiwan Colony II, Sector 53, Faridabad, Haryana 121015",,electrical earthing dealers Faridabad
Advanced Electric Company (solar ACDB and Solar DCDB),Solar energy equipment supplier,096504 07689,,"
Khasra No 154/818, Puth Khurd, Delhi, 110039",http://www.advancedelectric.in/,copper bonded earthing rod dealers Delhi
Madan Lal Nanda & Sons,Metal supplier,098737 86175,info@nandametal.com,"
3692, Chandni Chowk Rd, opp. loha bhawan, Bazar Sirkiwalan, Chawri Bazar, Chandni Chowk, Delhi, 110006",http://www.nandametal.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=9352805154863651823,copper bonded earthing rod dealers Delhi
Swasthi Earthing Solutions,Electrical equipment supplier,080 4801 8868,,"
A-53, Shop No. 2, GT Karnal Road Jahangirpuri, Industrial Area, Azadpur, Delhi, 110033",,copper bonded earthing rod dealers Delhi
Mohan Lal Munna Lal,Copper Supplier,080 4860 3248,,"
3555, Chawri Bazar Rd, near union bank of india, Bazar Sirkiwalan, Khush Dil, Chandni Chowk, Delhi, 110006",http://mohanlalmunnalal.com/,copper bonded earthing rod dealers Delhi
"ANSOL PREMIER INDUSTRIES LLP, Solder wire.",Industrial equipment supplier,099999 99752,sales@solderwire.co.in,"
Badli Industrial Area Phase 2, 78, Delhi, 110042",https://solderwire.co.in/,copper bonded earthing rod dealers Delhi
K.K Tools & Electric Corporation,Insulator Supplier,080 4605 3958,,"
1743-46, GF, Gali Satyavati, Satyavati, Bhagirath Palace, Chandni Chowk, Delhi, 110006",https://www.kktelec.com/,copper bonded earthing rod dealers Delhi
