Star Earthing International,099995 57452,"
Block T, Om Vihar, Uttam Nagar, New Delhi, Delhi, 110059"
Chemical Earthing Lightning arrester Solar BOS Item Strip - True Power,073070 61426,"
D 242, Sector 63 Rd, D Block, Sector 63, Noida, Uttar Pradesh 201309"
SINGH EARTHING SYSTEM,097189 43900,"
C-160/30, Block C Sector-45, Noida, Uttar Pradesh 201303, Noida, Uttar Pradesh 201301"
super electronics pvt ltd,Refrigerator store,085100 06341,,"
44/2 b, Outer Ring Rd, Krishna Puri, Krishna Park, Krishna Park Extension, Vikaspuri, Delhi, 110018",https://www.sony.co.in/microsite/retailstores/,electrical earthing shops Delhi
V. G. EARTHING ELECTRODE & ELECTRICAL,090341 83991,"
Plot No- 54, Rai, Near Udyog Kunj, Sonipat, Haryana 131029"
Oriental Star Earthing Solutions,073030 92612,"
Sikanderpur Gurugram, Mehrauli-Gurugram Road, Near Metro Pillar Number 58, Sikanderpur, shop no-4, DS Tower, Sikandarpur , Gurugram Delhi, Haryana 122002"
MA ENTERPRISES & EARTHING SOLUTIONS,,"
Delhi, NCR, Ghazipur Dairy Farm, Ghazipur, New Delhi, Delhi 110096"
Earthing in Ghaziabad,098975 72049,"
S12A D242, B Block, Sector 63, Noida, Uttar Pradesh 201309"
Power One Earthing System,082494 13884,"
K.no, 197, Sihani Rd, Vidya Vihar, Sihani Chungi, Bhram Puri, Ghukna, Ghaziabad, Uttar Pradesh 201003"
ADHYA ELECTROTECH,099101 82223,"
BNo RZ H-253 RAJ NAGAR, PART-2, Palam Colony, Palam, New Delhi, Delhi 110077"
"BestofElectricals.com, online electrical shop for branded and genuine bijli items. Supplies pan India. COD available.",Store,011 4724 3000,sales@bestofelectricals.com,"
S-11, Janta Market, Rajouri Garden, Delhi, 110027",https://www.bestofelectricals.com/,electrical earthing shops Delhi
Ashoka Earthing Systems,,"
chauhan complex, village : SADARPUR, Sadarpur, Sector-45, Noida, Uttar Pradesh 201303"
Safety World Earthing System,087096 36346,"
K.no.29,Garhi Guldar, Meerut Rd, Raj Nagar Extension, Ghaziabad, Uttar Pradesh 201003"
"Chemical_Earthing_Electrode,Earthing GEM,Gel Earthing,Earthing Kit",,"
Govind Hospital, Unit 3, Line 1/3 Khandsa Road Opp. Sec 10A Market, Gurugram, Haryana 122001"
PROTECH EARTHING PRIVATE LIMITED,099905 55549,"
Plot no-264, Udyog Kendra 1, Ecotech III, Greater Noida, Khera Choganpur, Uttar Pradesh 201318"
Karytron Electricals Private Limited,Electrical installation service,093155 20262,,"
National Market, 487/36, National Market, Peeragarhi Village, Paschim Vihar, Delhi, 110087",https://karytron.co/,electrical earthing shops Delhi
M/S Hale Metal And Electro,096727 68874,"
Plot No- 683, Gali No. 3, Saini Vihar, Gauri Shankar Enclave, Mundka, Delhi, 110041"
Arora electricals and Hardware store,Electrical supply store,099106 25658,,"
C 7, Mangolpuri Industrial Area Phase II, Phase 2, Pocket C, Industrial Area, Mangolpuri, Delhi, 110034",https://arora-electricals.grexa.site/,electrical earthing shops Delhi
Superb Electronics,098109 59698,"
RZ-9, Manas Kunj, New Uttam Nagar, Uttam Nagar, New Delhi, Delhi, 110059"
Earthing World Marconite Earthing - Best Earthing in the World,,"
L2/82, GF, New Mahavir Nagar, Tilak Nagar, Delhi, 110018"
Power Factor Shop,Electrical supply store,097170 05541,"info@petzcreation.com, support@powerfactorshop.com","
A-8, Industrial Area Phase I, Block A, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi 110028",https://www.powerfactorshop.com/,electrical earthing shops Delhi
adya security,078385 54791,"
shop no 3, Ramdutt Enclave, A 93, West, Block E, Uttam Nagar East, Uttam Nagar, Delhi, 110059"
S.K. Refrigeration,Appliance store,098118 83216,,"
Metro Pillar No.533, 1/1, Double Storey, Main Najafgarh Road, Chatrapati, Shivaji Marg, Janakpuri, New Delhi, Delhi 110058",,electrical earthing shops Delhi
Earth Electricals,Electrical supply store,098114 47799,,"
A-1, Ali Extension, Sarita Vihar, New Delhi, Delhi 110076",,electrical earthing shops Delhi
"Indersons - New Delhi's Top Electrical Wholesaler for Wires & Cables, Modular Switches, MCBs, BLDC Fans and misc accessories.",011 4724 3000,"
S-11, near Pappu Sweets, Janta Market, Rajouri Garden, New Delhi, Delhi, 110027"
super electronics pvt ltd,085100 06341,"
44/2 b, Outer Ring Rd, Krishna Puri, Krishna Park, Krishna Park Extension, Vikaspuri, Delhi, 110018"
Anugrah Electronics & Appliances,Electronics store,011 2704 4500,,"
E-1 Pocket, Harlal Market, Shop No. 21-23, Maharaja Agrasen Marg, Sector 7, Rohini, Delhi, 110085",,electrical earthing shops Delhi
Earth Electricals,098114 47799,"
A-1, Ali Extension, Sarita Vihar, New Delhi, Delhi 110076"
Sharma Electricals - Best Electrical Shop In Peera Garhi Delhi,099583 63666,"
D-182, Near Peera Garhi Metro station, Rohtak Road, Peera Garhi, Delhi 110041"
Panasonic Preferred Partner Vn Agencies (Pvt) Ltd - Unit Of Uni Electro,,"
Main Road, Shaheed Chandra Marg, WZ Block, Uttam Nagar, New Delhi, Delhi, 110059"
"BestofElectricals.com, online electrical shop for branded and genuine bijli items. Supplies pan India. COD available.",011 4724 3000,"
S-11, Janta Market, Rajouri Garden, Delhi, 110027"
Superb Electronics,Electronic parts supplier,098109 59698,,"
RZ-9, Manas Kunj, New Uttam Nagar, Uttam Nagar, New Delhi, Delhi, 110059",http://www.superbonline.in/,electrical earthing shops Delhi
Disk Electronics,098189 95322,"
Disk Electronics, WZ-H-81, Gali No. 6, Sant Nagar, Extn, Tilak Nagar, New Delhi, Delhi, 110018"
SJ Electrical,097174 08778,"
DWARKA Sector 23, Village, near Bharna KUA, Pochanpur Colony, New Delhi, Delhi 110077"
Karytron Electricals Private Limited,093155 20262,"
National Market, 487/36, National Market, Peeragarhi Village, Paschim Vihar, Delhi, 110087"
Havells Authorised Partner - Shakti Electricals,Electrical supply store,080 4698 4945,,"
Shop No 230, nearby Vishal Mega Mart, Block B, Pocket 00, Sector 1, Rohini, New Delhi, Delhi, 110085",https://partners.havells.com/havells/new-delhi/Rohini/havells-authorised-partner-shakti-electricals-in-Rohini-new-delhi--54fcrp/home,electrical earthing shops Delhi
Anugrah Electronics & Appliances,011 2704 4500,"
E-1 Pocket, Harlal Market, Shop No. 21-23, Maharaja Agrasen Marg, Sector 7, Rohini, Delhi, 110085"
Power Factor Shop,097170 05541,"
A-8, Industrial Area Phase I, Block A, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi 110028"
Gleam Light India Pvt. Ltd.,088003 86366,"
12B Block -A, Rohtak Rd, behind Kanishka Garden, Amar Colony, Nangloi, New Delhi, Delhi 110041"
Swasthi Earthing Solutions,080 4801 8868,"
A-53, Shop No. 2, GT Karnal Road Jahangirpuri, Industrial Area, Azadpur, Delhi, 110033"
Havells Authorised Partner - Shakti Electricals,080 4698 4945,"
Shop No 230, nearby Vishal Mega Mart, Block B, Pocket 00, Sector 1, Rohini, New Delhi, Delhi, 110085"
Gleam Light India Pvt. Ltd.,Telecommunications equipment supplier,088003 86366,info@gleamlightindia.com,"
12B Block -A, Rohtak Rd, behind Kanishka Garden, Amar Colony, Nangloi, New Delhi, Delhi 110041",https://www.gleamlightindia.com/,electrical earthing shops Delhi
Ess Ess International,011 2362 8092,"
13 India, Jhandewalan Extension, New Seelampur Phase II, Jhandewalan, New Delhi, Delhi 110055"
Techcart Integrated Solutions Private Limited,099106 00023,"
133, Manas Kunj Rd, near N R JINDAL PUBLIC SCHOOL, New Uttam Nagar, Uttam Nagar, New Delhi, Delhi, 110059"
Bharat Electrical Industries,080 4860 2935,"
41, Phase 2, Pocket A, Industrial Area, Mangolpuri, Delhi, 110083"
Bharat Electrical Industries,Electrical products wholesaler,080 4860 2935,,"
41, Phase 2, Pocket A, Industrial Area, Mangolpuri, Delhi, 110083",https://www.hosperelectric.com/,electrical earthing shops Delhi
Ess Ess International,Electrical supply store,011 2362 8092,,"
13 India, Jhandewalan Extension, New Seelampur Phase II, Jhandewalan, New Delhi, Delhi 110055",,electrical earthing shops Delhi
Kamal Heavy Electric Works & Maintenance-free chemical Earthing,Electric motor repair shop,098110 79633,,"
S-14, A-112 J.J.R. Camp, Okhla Industrial Area Phase-2, New Delhi, Delhi 110020",,electrical earthing shops Delhi
Saroop Industries,Auto parts store,098111 95059,saroopindustries@gmail.com,"
B-15, Mangolpuri Industrial Area Phase II, Phase 2, Pocket B, Industrial Area, Mangolpuri, New Delhi, Delhi, 110083",https://www.saroopindustries.com/,electrical earthing shops Delhi
Prakash Refrigeration & Electrical,Air conditioning repair service,098188 30314,,"
14, 16, Block 48, Ashok Nagar, Delhi, 110018",,electrical earthing shops Delhi
Genius Protection System Pvt Ltd - Munirka,,"
248 A, Rati Complex, Rama Market, Munirka, Delhi 110067"
S K Super Enamelled Copper Wire,011 5621 0250,"
Shop: Wz 166, Block WZ, Basai Dara pur, Bali Nagar, Delhi, 110015"
Power Earthing Electrode,087508 15137,"
OFFICE NO 12, TOWER-A, Janakpuri West, Janakpuri District Center, Janakpuri, Delhi, 110058"
Renown Electrical System Pvt. Ltd.,,"
E-20 1st Floor, Block E, Noida Sector 3, Noida, Uttar Pradesh 201301"
Empire Earthing Power,096546 99395,"
gate no. 2, Khasra no. 64, Tigri, Roza Jalalpur Village, Greater Noida, Ghaziabad, Uttar Pradesh 203207"
JMV LPS Limited,0120 459 0000,"
W-50, Buddh Vihar, W Block, Sector 11, Noida, Uttar Pradesh 201301"
GI Earthing Strips : Atul Casting and Metal Works,098733 61672,"
50/14, Gali Number 1, Anand Parbat Industrial Area, Anand Parbat, New Delhi, Delhi, 110005"
SRS ENTERPRISES,099994 22324,"
Block K, UPSIDC Site B, Surajpur, Greater Noida, Uttar Pradesh 201306"
Laxmi Power Solutions,099116 66701,"
Plot No. 10, Gali No. 5, Malerna Rd, opposite Beri Ka Bagh, Industrial Area, Sector 60, Ballabhgarh, Faridabad, Haryana 121004"
Ennob Infraa Solution,088822 22777,"
Plot No. 24, Surajpur - Kasna Rd, Udyog Vihar Extension, Ecotech-II, Udyog Vihar, Greater Noida, Uttar Pradesh 201306"
Jey Tee Power Plus Private Limited,098111 59816,"
383, Mukund Nagar, Patel Nagar, Ghaziabad, Uttar Pradesh 201001"
SHAKTI WINDING WIRES,Copper Supplier,098115 35859,shaktiwires@gmail.com,"
56A, 9, Rama Rd, Kirti Nagar Industrial Area, Kirti Nagar, New Delhi, Delhi, 110015",http://www.shaktiwires.com/,copper earthing electrode resellers Delhi
SG Power Products Pvt. Limited,098180 74274,"
E-23, Arya Nagar, Daulatpura, Ghaziabad, Uttar Pradesh 201009"
S K Super Enamelled Copper Wire,Electrical supply store,011 5621 0250,,"
Shop: Wz 166, Block WZ, Basai Dara pur, Bali Nagar, Delhi, 110015",,copper earthing electrode resellers Delhi
Earthing Material Supplier HR ENGINEERING SOLUTION,084485 61247,"
Shop No. 12, near TULIP LEMON, society, Sector 69, Gurugram, Haryana 122101"
Capstan Super Enamelled Copper and Aluminium winding wire,Copper Supplier,098116 43058,,"
Tyagi Market, WZ-480E/1A, West, Block WZ, Basai Dara pur, Bali Nagar, New Delhi, Delhi, 110015",,copper earthing electrode resellers Delhi
Shallamar Electric Company l Earthing material l Electrical material supplier in gurgaon,099104 79797,"
Basai Rd, Bada Bazar, New Basti, Sector 8, Gurugram, Haryana 122001"
"Ozone India | Laxmi Hardware And Welding Material | Gurugram, Haryana",098104 98405,"
1032, 1, Old Railway Rd, near Chintapurni Mandir, Sector 7, Gurugram, Haryana 122001"
𝐕𝐨𝐥𝐭𝐦𝐞𝐧 𝐄𝐧𝐞𝐫𝐠𝐲 𝐒𝐨𝐥𝐮𝐭𝐢𝐨𝐧𝐬 𝐏𝐫𝐢𝐯𝐚𝐭𝐞 𝐋𝐢𝐦𝐢𝐭𝐞𝐝,095400 03075,"
Plot No. 324, near Sector 14, Sukhrali, Sector 17, Gurugram, Haryana 122001"
Ra-Vi Electricals,098102 46443,"
Metro Pillar No-58, Deep Shikhar Complex, Opp, Mehrauli-Gurgaon Rd, Sikanderpur Market, Sikanderpur, Nathupur, Sector 24, Gurugram, Haryana 122002"
Maruti Electrode,085954 82517,"
Maruti Electrode, 13/1/5, Industrial Area, Begumpur Khatola, Sector 35, Gurugram, Haryana 122004"
Electrotek Static Controls Private Limited,080 4873 6718,"
No.447, ESD Tower, Sector No. 37, Pace City No. 2, Industrial Area, Near Hero Honda Chowk, Gurugram, Haryana 122004"
SHIV SHAKTI BUILDING MATERIAL SUPPLIER & EARTH MOVERS,,"
Main road, nearby Shri chitragupta sr sec school, Teekli, Tikli, Gurugram, Haryana 122101"
SBM Electric Techno Pvt. Ltd.,099716 16457,"
SBM EERA COMPLEX, 1/1, Basai Rd, near NK RUBBER FACTORY, Block A, Krishna Nagar, Sector 10, Gurugram, Haryana 122001"
New Gurgaon Traders,099582 84002,"
Near Daultabad flyover, Dhanwapur Rd, Surat Nagar, Sector 104, Gurugram, Haryana 122006"
ROKSNA INDIA Pvt. Ltd.,097170 70100,"
U-205,Radha Palace, Gurudwara Road Opp: Kamla Nehru Park, Gurugram, Haryana 122001"
khushi Electricals,,"
Shop No-3 , 1st Floor, Shri Ram Market, near Shiv Mandir Chowk, Rajiv Nagar, Sector 13, Gurugram, Haryana 122001"
Shiva Sales Corporation Hardware Store,098999 06521,"
Bara Bazar, 64/16, Basai Rd, Krishna Palace, Prem Nagar, Sector 11, Gurugram, Haryana 122001"
Bhagwati Sales Corporation | electric and petrol concrete Vibrators | concrete Vibrator needles |,093152 61818,"
1571, 1, near New Railway Road, Mahavir Pura, Sanjay colony, Sector 6, Gurugram, Haryana 122001"
Bantair India Private Limited- Modular Rainwater harvesting system,099533 25100,"
Arcadia, 415 A, South City II, Sector 49, Gurugram, Fatehpur, Haryana 122018"
SINGH EARTHING SYSTEM,Electrical equipment supplier,097189 43900,,"
C-160/30, Block C Sector-45, Noida, Uttar Pradesh 201303, Noida, Uttar Pradesh 201301",https://singhearthingsystems.com/,GI earthing electrode dealers Noida
VARDAAN TRADERS,,"
306-307, Vishnu Garden Part-1, Bajghera Rd, Gurugram, Haryana 122006"
"Dorset, Hettich & Hafele - B S Hardwares",099109 91577,"
Khasra No, 405, Badshahpur Sohna Rd, opposite JMD GARDEN, Islampur Village, Sector 38, Gurugram, Haryana 122018"
JAI HIND KISHAN AGRO,093100 05055,"
Vishnu estate, 2427/3, Old Delhi Rd, opposite Ganpati Lights, Anamika Enclave, Sector 12, Gurugram, Haryana 122001"
Haryana Iron Store,098684 11322,"
Shop No. 21, Najafgarh Rd, near Bhada Mandir, Adhyapak Nagar, Naresh Park Extension, Nangloi, Delhi, 110041"
VIJAY HARDWARE AND PAINTS ELECTRICIAL STORE,070119 78312,"
Daulatabad, Gurugram, Haryana 122006"
AAYUSH ENTERPRISES,097170 87012,"
1c-16, Hardware Colony New Industrial Twp Rd, Bata B Colony, New Industrial Twp 1, New Industrial Township, Faridabad, Haryana 121001"
"K S Power Solution, Maintenance free Earthing in Noida,Chemical Earthing in Faridabad",082857 17810,"
METRO GATE NO-1, 14/4, near NH-19, near MEWLA MHARAJPUR, Pocket B, Sector 27, Faridabad, Haryana 121003"
Electrical Traders,098110 67948,"
5D/110, opposite DHBVN Office, Block D, New Industrial Twp 5, New Industrial Township, Faridabad, Haryana 121001"
Super electrical works,070116 84393,"
Fca-3122, Gali Number 4, Pocket A, Sanjay Gandhi Memorial Nagar, New Industrial Township, Faridabad, Haryana 121001"
Standard Electric Co.,0129 400 6818,"
1H, 16, Aryasamaj Rd, Nehru Ground, New Industrial Twp 1, New Industrial Township, Faridabad, Haryana 121001"
NV Electrical – Electrician | AC Repair | Wiring Service in Greenfield Colony Faridabad,075033 36203,"
Dayal Basti, Dayal Basti Village, Sector 42, Faridabad, Haryana 121010"
SUBTLE CONTROLS I PVT LTD,0129 402 9540,"
Plot No 473, Sector 68, IMT, Faridabad, Haryana 121004"
New Vijay Electricals,099993 45060,"
Main Market Rd, Sector 35, Faridabad, Haryana 121003"
LEEWO Contracts Pvt. Ltd.,0129 417 0003,"
1D/98 NIT, Faridabad, Haryana 121001"
FARIDABAD ENGINEERS,078387 56681,"
PLOT NO.1041, 2, Link Rd, near OIL MILL, HBH Colony, Old Faridabad, Faridabad, Haryana 121008"
SPKN INDIA,099995 01843,"
plot no 7, Gurukul Rd, industrial area, Sector 38, Faridabad, Haryana 121001"
S T ELECTRICALS,090152 34724,"
H no. 589, BALA JI MANDIR, Malerna Rd, Adarsh Nagar, Ballabhgarh, Faridabad, Haryana 121004"
Tanuj Power Control Pvt Ltd,099538 31258,"
BLOCK A, A-9, opposite SHAKTI PEETH SCHOOL, Sanjay Gandhi Memorial Nagar, Faridabad, Haryana 121001"
New Samrat Electronics,097101 51313,"
Abhishek Garden, 56, New Industrial Township, Faridabad, Haryana 121005"
Electric & Construction Engineers,,"
Plot Number 57, Mujesar, RS Colony, Sector 24, Faridabad, Haryana 121005"
GS ELECTROCONTROLS PVT LTD,Electrician,099998 86013,"%20info@gseindia.in, info@gseindia.in, sales.gseindia@gmail.com","
2nd floor, D-301, Sector 63 Rd, F Block, Sector 63, Noida, Chotpur, Uttar Pradesh 201301",http://www.gseindia.in/,GI earthing electrode dealers Noida
E Control Devices - Thermal Management Solutions Expert,098106 14803,"
1, Block B, Plot A2 , BPTP District, near Puri Business Hub, Sector 81, Faridabad, Haryana 121007"
Electro Automation Industries,077018 39766,"
No-3F 49, Metro Rd, Block E, New Industrial Twp 3, New Industrial Township, Faridabad, Haryana 121001"
Star Electricals,098111 29851,"
1-D, 60, New Industrial Township, Faridabad, Haryana 121001"
P.T POWER SOLUTIONS,098113 10076,"
Jiwan Colony II, Sector 53, Faridabad, Haryana 121015"
Electro Power,085888 53591,"
Bakdi-Pali road, Gali no. 1, Near pali petrol pump, near ultimate dharam kata, Faridabad, Haryana 121004"
Ennob Infraa Solution,Electrical equipment supplier,088822 22777,"enquiry@ennob.in, abhisek@ennob.in","
Plot No. 24, Surajpur - Kasna Rd, Udyog Vihar Extension, Ecotech-II, Udyog Vihar, Greater Noida, Uttar Pradesh 201306",https://www.ennob.in/,GI earthing electrode dealers Noida
Advanced Electric Company (solar ACDB and Solar DCDB),096504 07689,"
Khasra No 154/818, Puth Khurd, Delhi, 110039"
SHAKTI WINDING WIRES,098115 35859,"
56A, 9, Rama Rd, Kirti Nagar Industrial Area, Kirti Nagar, New Delhi, Delhi, 110015"
Aeron Industries,098103 74966,"
House No, 7 Extension, Block D, Sawan Park, Ashok Vihar, Delhi, 110052"
Madan Lal Nanda & Sons,098737 86175,"
3692, Chandni Chowk Rd, opp. loha bhawan, Bazar Sirkiwalan, Chawri Bazar, Chandni Chowk, Delhi, 110006"
Earthing Material Supplier HR ENGINEERING SOLUTION,Electrical equipment supplier,084485 61247,,"
Shop No. 12, near TULIP LEMON, society, Sector 69, Gurugram, Haryana 122101",,earthing material dealers Gurugram
Capstan Super Enamelled Copper and Aluminium winding wire,098116 43058,"
Tyagi Market, WZ-480E/1A, West, Block WZ, Basai Dara pur, Bali Nagar, New Delhi, Delhi, 110015"
Mohan Lal Munna Lal,080 4860 3248,"
3555, Chawri Bazar Rd, near union bank of india, Bazar Sirkiwalan, Khush Dil, Chandni Chowk, Delhi, 110006"
